model,mode,image_id,level,n_persons_gt,rep,n_input,n_generated,n_think_tokens,n_answer_tokens,ttft_ms,latency_ms,decode_tps,total_tps,peak_mem_bytes,budget_hit,think_closed,termination_class,parsed_answer,parse_status,correct
qwen3vl4b,instruct,169076,L2,2,2,348,2,0,2,281.4,390.5,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,274066,L3,5,2,348,2,0,2,282.7,390.8,9.3,5.1,8989389312,False,False,complete,4,ok,False
qwen3vl4b,instruct,2006,L2,3,1,348,2,0,2,280.7,389.7,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,114049,L3,6,1,348,2,0,2,281.7,391.8,9.1,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,201426,L2,2,2,348,2,0,2,280.9,389.8,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,154087,L3,4,1,348,2,0,2,280.7,390.1,9.1,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,89296,L2,2,1,348,2,0,2,281.0,389.7,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,170613,L2,2,1,348,2,0,2,283.1,390.1,9.3,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,36539,L2,2,1,348,2,0,2,280.7,389.9,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,274066,L3,5,1,348,2,0,2,282.5,390.2,9.3,5.1,8989389312,False,False,complete,4,ok,False
qwen3vl4b,instruct,32334,L3,5,0,348,2,0,2,281.7,391.0,9.1,5.1,8989389312,False,False,complete,5,ok,True
qwen3vl4b,instruct,277020,L3,4,0,348,2,0,2,280.8,389.9,9.2,5.1,8989389312,False,False,complete,4,ok,True
qwen3vl4b,instruct,127270,L3,5,2,348,2,0,2,280.7,389.9,9.2,5.1,8989389312,False,False,complete,6,ok,False
qwen3vl4b,instruct,1761,L3,5,1,348,2,0,2,281.2,389.9,9.2,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,36936,L2,2,2,348,2,0,2,280.8,390.2,9.1,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,170613,L2,2,2,348,2,0,2,280.7,389.8,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,277020,L3,4,1,348,2,0,2,280.9,390.6,9.1,5.1,8989389312,False,False,complete,4,ok,True
qwen3vl4b,instruct,32334,L3,5,2,348,2,0,2,281.2,389.7,9.2,5.1,8989389312,False,False,complete,5,ok,True
qwen3vl4b,instruct,70739,L2,3,1,348,2,0,2,280.9,389.7,9.2,5.1,8989389312,False,False,complete,3,ok,True
qwen3vl4b,instruct,231580,L3,7,0,348,2,0,2,281.2,389.4,9.2,5.1,8989389312,False,False,complete,7,ok,True
qwen3vl4b,instruct,70739,L2,3,0,348,2,0,2,281.3,389.9,9.2,5.1,8989389312,False,False,complete,3,ok,True
qwen3vl4b,instruct,180487,L2,2,0,348,2,0,2,282.3,390.5,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,231580,L3,7,2,348,2,0,2,280.7,389.3,9.2,5.1,8989389312,False,False,complete,7,ok,True
qwen3vl4b,instruct,36539,L2,2,2,348,2,0,2,281.5,391.2,9.1,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,154087,L3,4,0,348,2,0,2,281.8,391.5,9.1,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,31093,L2,3,2,348,2,0,2,280.8,391.4,9.0,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,3255,L3,6,1,348,2,0,2,281.3,389.0,9.3,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,83172,L2,3,1,348,2,0,2,281.0,390.6,9.1,5.1,8989389312,False,False,complete,3,ok,True
qwen3vl4b,instruct,2006,L2,3,0,348,2,0,2,280.9,391.7,9.0,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,25386,L2,3,2,348,2,0,2,281.4,390.3,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,74200,L3,6,1,348,2,0,2,281.5,390.6,9.2,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,231580,L3,7,1,348,2,0,2,282.6,391.2,9.2,5.1,8989389312,False,False,complete,7,ok,True
qwen3vl4b,instruct,111086,L3,4,0,348,2,0,2,281.2,391.6,9.1,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,25386,L2,3,1,348,2,0,2,282.0,389.6,9.3,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,277020,L3,4,2,348,2,0,2,280.9,389.5,9.2,5.1,8989389312,False,False,complete,4,ok,True
qwen3vl4b,instruct,18150,L2,2,1,348,2,0,2,281.1,390.1,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,188296,L3,7,1,348,2,0,2,281.7,389.8,9.2,5.1,8989389312,False,False,complete,8,ok,False
qwen3vl4b,instruct,127270,L3,5,0,348,2,0,2,281.3,390.4,9.2,5.1,8989389312,False,False,complete,6,ok,False
qwen3vl4b,instruct,117425,L2,3,2,348,2,0,2,281.1,391.6,9.0,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,89296,L2,2,0,348,2,0,2,281.0,389.9,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,55167,L3,6,0,348,2,0,2,281.1,389.3,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,3255,L3,6,0,348,2,0,2,281.1,391.0,9.1,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,62355,L3,5,1,348,2,0,2,281.1,390.0,9.2,5.1,8989389312,False,False,complete,4,ok,False
qwen3vl4b,instruct,36936,L2,2,0,348,2,0,2,281.0,389.8,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,25386,L2,3,0,348,2,0,2,280.9,389.6,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,31093,L2,3,1,348,2,0,2,280.8,393.7,8.9,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,188296,L3,7,0,348,2,0,2,281.2,390.9,9.1,5.1,8989389312,False,False,complete,8,ok,False
qwen3vl4b,instruct,201426,L2,2,1,348,2,0,2,282.4,390.8,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,130699,L3,7,2,348,2,0,2,281.5,391.2,9.1,5.1,8989389312,False,False,complete,6,ok,False
qwen3vl4b,instruct,130699,L3,7,1,348,2,0,2,280.7,389.9,9.2,5.1,8989389312,False,False,complete,6,ok,False
qwen3vl4b,instruct,130699,L3,7,0,348,2,0,2,281.6,390.1,9.2,5.1,8989389312,False,False,complete,6,ok,False
qwen3vl4b,instruct,55167,L3,6,1,348,2,0,2,281.0,390.4,9.1,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,173799,L2,2,1,348,2,0,2,281.0,391.7,9.0,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,83172,L2,3,2,348,2,0,2,281.8,390.3,9.2,5.1,8989389312,False,False,complete,3,ok,True
qwen3vl4b,instruct,70739,L2,3,2,348,2,0,2,281.3,391.6,9.1,5.1,8989389312,False,False,complete,3,ok,True
qwen3vl4b,instruct,117425,L2,3,1,348,2,0,2,280.8,390.8,9.1,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,170613,L2,2,0,348,2,0,2,281.0,389.7,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,114049,L3,6,2,348,2,0,2,281.0,389.9,9.2,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,173799,L2,2,0,348,2,0,2,281.3,390.3,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,18150,L2,2,0,348,2,0,2,280.9,390.0,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b_t,thinking,277020,L3,4,0,350,132,128,1,281.3,14591.4,9.2,9.0,8989715968,False,True,complete,4,ok,True
qwen3vl4b_t,thinking,3255,L3,6,1,350,49,45,1,281.0,5538.7,9.1,8.8,8989715968,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,62355,L3,5,2,350,497,493,1,281.3,54458.0,9.2,9.1,9022930432,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,117425,L2,3,0,350,75,71,1,281.3,8353.4,9.2,9.0,8989715968,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,180487,L2,2,2,350,61,57,1,281.7,6837.1,9.2,8.9,8989715968,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,130699,L3,7,2,350,692,688,1,281.6,75753.5,9.2,9.1,9050350080,False,True,complete,6,ok,False
qwen3vl4b_t,thinking,274066,L3,5,0,350,120,116,1,281.3,13283.1,9.2,9.0,8989715968,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,127270,L3,5,0,350,508,504,1,281.2,55747.0,9.1,9.1,9023016960,False,True,complete,5,ok,True
qwen3vl4b_t,thinking,111086,L3,4,0,350,124,120,1,281.4,13738.9,9.1,9.0,8989715968,False,True,complete,1,ok,False
qwen3vl4b_t,thinking,188296,L3,7,0,350,8192,8192,0,281.4,891178.8,9.2,9.2,10171238400,True,False,non_termination,7,no_think_tag,True
qwen3vl4b_t,thinking,74200,L3,6,0,350,778,774,1,280.5,83659.7,9.3,9.3,9076400640,False,True,complete,0,ok,False
qwen3vl4b_t,thinking,1761,L3,5,2,350,109,105,1,280.2,11872.9,9.3,9.2,8985810432,False,True,complete,0,ok,False
qwen3vl4b_t,thinking,36539,L2,2,0,350,52,48,1,280.3,5751.0,9.3,9.0,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,31093,L2,3,0,350,8192,8192,0,280.3,877006.5,9.3,9.3,10171238400,True,False,non_termination,3,no_think_tag,True
qwen3vl4b_t,thinking,201426,L2,2,1,350,72,68,1,280.0,7848.8,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,3255,L3,6,0,350,49,45,1,279.9,5394.9,9.4,9.1,8985810432,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,62355,L3,5,0,350,497,493,1,280.0,53161.8,9.4,9.3,9025955328,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,274066,L3,5,1,350,120,116,1,280.0,12964.2,9.4,9.3,8985810432,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,70739,L2,3,2,350,772,768,1,280.0,82474.3,9.4,9.4,9061988864,False,True,complete,3,ok,True
qwen3vl4b_t,thinking,130699,L3,7,0,350,692,688,1,280.3,74126.1,9.4,9.3,9050515968,False,True,complete,6,ok,False
qwen3vl4b_t,thinking,70739,L2,3,1,350,772,768,1,281.1,82636.0,9.4,9.3,9061988864,False,True,complete,3,ok,True
qwen3vl4b_t,thinking,89296,L2,2,1,350,82,78,1,280.6,8929.8,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,32334,L3,5,0,350,500,496,1,280.7,53546.6,9.4,9.3,9025968128,False,True,complete,5,ok,True
qwen3vl4b_t,thinking,117425,L2,3,2,350,75,71,1,280.0,8175.0,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,173799,L2,2,1,350,97,93,1,280.0,10507.8,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,2006,L2,3,1,350,82,78,1,280.0,8911.7,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,31093,L2,3,2,350,8192,8192,0,280.6,876427.9,9.3,9.3,10171238400,True,False,non_termination,3,no_think_tag,True
qwen3vl4b_t,thinking,231580,L3,7,2,350,813,809,1,280.1,86914.9,9.4,9.4,9077595136,False,True,complete,6,ok,False
qwen3vl4b_t,thinking,18150,L2,2,0,350,74,70,1,280.1,8064.3,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,188296,L3,7,1,350,8192,8192,0,279.8,874998.6,9.4,9.4,10171238400,True,False,non_termination,7,no_think_tag,True
qwen3vl4b_t,thinking,117425,L2,3,1,350,75,71,1,279.9,8169.7,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,114049,L3,6,1,350,8192,8192,0,279.8,875832.7,9.4,9.4,10171238400,True,False,non_termination,5,no_think_tag,False
qwen3vl4b_t,thinking,231580,L3,7,1,350,813,809,1,280.0,86987.3,9.4,9.3,9077595136,False,True,complete,6,ok,False
qwen3vl4b_t,thinking,201426,L2,2,0,350,72,68,1,280.1,7845.7,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,154087,L3,4,1,350,249,245,1,280.5,26749.2,9.4,9.3,8999827456,False,True,complete,4,ok,True
qwen3vl4b_t,thinking,36539,L2,2,2,350,52,48,1,280.7,5716.5,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,173799,L2,2,2,350,97,93,1,279.7,10513.1,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,180487,L2,2,1,350,61,57,1,280.3,6673.5,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,18150,L2,2,2,350,74,70,1,280.1,8054.3,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,55167,L3,6,1,350,877,873,1,279.8,93696.8,9.4,9.4,9077860864,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,154087,L3,4,0,350,249,245,1,280.1,26730.3,9.4,9.3,8999827456,False,True,complete,4,ok,True
qwen3vl4b_t,thinking,83172,L2,3,0,350,94,90,1,280.1,10193.2,9.4,9.2,8985810432,False,True,complete,3,ok,True
qwen3vl4b_t,thinking,180487,L2,2,0,350,61,57,1,279.9,6666.1,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,154087,L3,4,2,350,249,245,1,280.9,26721.8,9.4,9.3,8999827456,False,True,complete,4,ok,True
qwen3vl4b_t,thinking,36936,L2,2,2,350,48,44,1,279.9,5295.1,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,70739,L2,3,0,350,772,768,1,279.9,82660.2,9.4,9.3,9061988864,False,True,complete,3,ok,True
qwen3vl4b_t,thinking,2006,L2,3,2,350,82,78,1,279.7,8922.2,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,55167,L3,6,2,350,877,873,1,280.0,93716.1,9.4,9.4,9077860864,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,114049,L3,6,0,350,8192,8192,0,279.9,876606.5,9.3,9.3,10171238400,True,False,non_termination,5,no_think_tag,False
qwen3vl4b_t,thinking,2006,L2,3,0,350,82,78,1,280.0,8927.0,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,169076,L2,2,0,350,364,360,1,280.1,38995.2,9.4,9.3,9008892416,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,74200,L3,6,2,350,778,774,1,280.1,83144.9,9.4,9.4,9076400640,False,True,complete,0,ok,False
qwen3vl4b_t,thinking,31093,L2,3,1,350,8192,8192,0,280.0,876032.9,9.4,9.4,10171238400,True,False,non_termination,3,no_think_tag,True
qwen3vl4b_t,thinking,231580,L3,7,0,350,813,809,1,280.2,86915.6,9.4,9.4,9077595136,False,True,complete,6,ok,False
qwen3vl4b_t,thinking,36936,L2,2,1,350,48,44,1,279.9,5297.3,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,170613,L2,2,1,350,61,57,1,279.7,6677.7,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,1761,L3,5,1,350,109,105,1,279.8,11800.1,9.4,9.2,8985810432,False,True,complete,0,ok,False
qwen3vl4b_t,thinking,169076,L2,2,2,350,364,360,1,279.9,39026.5,9.4,9.3,9008892416,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,274066,L3,5,2,350,120,116,1,279.9,12965.9,9.4,9.3,8985810432,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,127270,L3,5,2,350,508,504,1,280.3,54299.2,9.4,9.4,9025998848,False,True,complete,5,ok,True
qwen3vl4b_t,thinking,18150,L2,2,1,350,74,70,1,280.1,8059.7,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,32334,L3,5,1,350,500,496,1,280.1,53456.3,9.4,9.4,9025968128,False,True,complete,5,ok,True
qwen3vl4b_t,thinking,89296,L2,2,0,350,82,78,1,280.0,8919.8,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,277020,L3,4,2,350,132,128,1,280.6,14266.1,9.4,9.3,8985810432,False,True,complete,4,ok,True
qwen3vl4b_t,thinking,25386,L2,3,0,350,76,72,1,280.1,8266.5,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,130699,L3,7,1,350,692,688,1,280.0,73960.2,9.4,9.4,9050515968,False,True,complete,6,ok,False
qwen3vl4b_t,thinking,55167,L3,6,0,350,877,873,1,279.8,93691.0,9.4,9.4,9077860864,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,36539,L2,2,1,350,52,48,1,279.9,5718.9,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,170613,L2,2,0,350,61,57,1,280.1,6682.3,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,36936,L2,2,0,350,48,44,1,279.9,5292.3,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,277020,L3,4,1,350,132,128,1,279.9,14245.0,9.4,9.3,8985810432,False,True,complete,4,ok,True
qwen3vl4b_t,thinking,111086,L3,4,1,350,124,120,1,280.1,13386.0,9.4,9.3,8985810432,False,True,complete,1,ok,False
qwen3vl4b_t,thinking,62355,L3,5,1,350,497,493,1,280.0,53165.0,9.4,9.3,9025955328,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,170613,L2,2,2,350,61,57,1,280.1,6684.4,9.4,9.1,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,89296,L2,2,2,350,82,78,1,280.2,8913.3,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,83172,L2,3,2,350,94,90,1,280.0,10201.1,9.4,9.2,8985810432,False,True,complete,3,ok,True
qwen3vl4b_t,thinking,114049,L3,6,2,350,8192,8192,0,280.2,875546.9,9.4,9.4,10171238400,True,False,non_termination,5,no_think_tag,False
qwen3vl4b_t,thinking,173799,L2,2,0,350,97,93,1,280.2,10492.7,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,25386,L2,3,2,350,76,72,1,280.0,8260.9,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,74200,L3,6,1,350,778,774,1,279.9,82970.0,9.4,9.4,9076400640,False,True,complete,0,ok,False
qwen3vl4b_t,thinking,32334,L3,5,2,350,500,496,1,280.0,53343.7,9.4,9.4,9025968128,False,True,complete,5,ok,True
qwen3vl4b_t,thinking,25386,L2,3,1,350,76,72,1,279.9,8255.8,9.4,9.2,8985810432,False,True,complete,2,ok,False
qwen3vl4b_t,thinking,83172,L2,3,1,350,94,90,1,279.9,10176.7,9.4,9.2,8985810432,False,True,complete,3,ok,True
qwen3vl4b_t,thinking,1761,L3,5,0,350,109,105,1,279.9,11768.5,9.4,9.3,8985810432,False,True,complete,0,ok,False
qwen3vl4b_t,thinking,127270,L3,5,1,350,508,504,1,280.1,54244.2,9.4,9.4,9025998848,False,True,complete,5,ok,True
qwen3vl4b_t,thinking,3255,L3,6,2,350,49,45,1,280.0,5387.0,9.4,9.1,8985810432,False,True,complete,4,ok,False
qwen3vl4b_t,thinking,111086,L3,4,2,350,124,120,1,279.9,13371.0,9.4,9.3,8985810432,False,True,complete,1,ok,False
qwen3vl4b_t,thinking,201426,L2,2,2,350,72,68,1,280.0,7828.7,9.4,9.2,8985810432,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,169076,L2,2,1,350,364,360,1,280.0,38896.7,9.4,9.4,9008892416,False,True,complete,2,ok,True
qwen3vl4b_t,thinking,188296,L3,7,2,350,8192,8192,0,279.9,873556.3,9.4,9.4,10171238400,True,False,non_termination,7,no_think_tag,True
qwen3vl8b,instruct,3255,L3,6,0,348,2,0,2,433.9,544.3,9.1,3.7,17659701760,False,False,complete,5,ok,False
qwen3vl8b,instruct,231580,L3,7,2,348,2,0,2,434.9,543.0,9.2,3.7,17659701760,False,False,complete,8,ok,False
qwen3vl8b,instruct,201426,L2,2,2,348,2,0,2,434.7,542.7,9.3,3.7,17659701760,False,False,complete,2,ok,True
qwen3vl8b,instruct,70739,L2,3,0,348,2,0,2,433.4,542.2,9.2,3.7,17659701760,False,False,complete,2,ok,False
qwen3vl8b,instruct,83172,L2,3,1,348,2,0,2,433.7,543.5,9.1,3.7,17659701760,False,False,complete,3,ok,True
qwen3vl8b,instruct,154087,L3,4,2,348,2,0,2,433.5,544.4,9.0,3.7,17659701760,False,False,complete,5,ok,False
qwen3vl8b,instruct,114049,L3,6,1,348,2,0,2,434.7,543.5,9.2,3.7,17659701760,False,False,complete,7,ok,False
qwen3vl8b,instruct,32334,L3,5,2,348,2,0,2,434.3,543.0,9.2,3.7,17659701760,False,False,complete,4,ok,False
qwen3vl8b,instruct,117425,L2,3,2,348,2,0,2,433.8,543.7,9.1,3.7,17659701760,False,False,complete,2,ok,False
qwen3vl8b,instruct,55167,L3,6,2,348,2,0,2,434.1,543.1,9.2,3.7,17659701760,False,False,complete,2,ok,False
qwen3vl8b,instruct,277020,L3,4,1,348,2,0,2,434.1,542.4,9.2,3.7,17659701760,False,False,complete,4,ok,True
qwen3vl8b,instruct,1761,L3,5,1,348,2,0,2,436.0,543.0,9.3,3.7,17659701760,False,False,complete,0,ok,False
qwen3vl8b,instruct,70739,L2,3,2,348,2,0,2,434.1,542.7,9.2,3.7,17659701760,False,False,complete,2,ok,False
qwen3vl8b,instruct,1761,L3,5,0,348,2,0,2,434.0,543.1,9.2,3.7,17659701760,False,False,complete,0,ok,False
qwen3vl8b,instruct,154087,L3,4,0,348,2,0,2,434.2,543.6,9.1,3.7,17659701760,False,False,complete,5,ok,False
qwen3vl8b,instruct,18150,L2,2,0,348,2,0,2,434.2,542.9,9.2,3.7,17659701760,False,False,complete,2,ok,True
qwen3vl8b,instruct,36936,L2,2,0,348,2,0,2,437.0,545.3,9.2,3.7,17659701760,False,False,complete,2,ok,True
qwen3vl8b,instruct,188296,L3,7,2,348,2,0,2,434.6,544.6,9.1,3.7,17659701760,False,False,complete,8,ok,False
qwen3vl8b,instruct,25386,L2,3,1,348,2,0,2,434.6,544.6,9.1,3.7,17659701760,False,False,complete,2,ok,False
qwen3vl8b,instruct,1761,L3,5,2,348,2,0,2,433.9,544.3,9.1,3.7,17659701760,False,False,complete,0,ok,False
qwen3vl8b,instruct,130699,L3,7,1,348,2,0,2,434.2,544.3,9.1,3.7,17659701760,False,False,complete,7,ok,True
qwen3vl8b,instruct,70739,L2,3,1,348,2,0,2,437.5,544.4,9.4,3.7,17659701760,False,False,complete,2,ok,False
qwen3vl8b,instruct,62355,L3,5,2,348,2,0,2,434.0,544.0,9.1,3.7,17659701760,False,False,complete,5,ok,True
