quantity,value,source_file,how_obtained,conditions,n_spread,cross_checked,status,claim_linkage,notes
Corrected win-10 binding crossover (A6000),ri ≈ 101 s,THIS AUDIT,"crossover: ri = N_memory × restore_ms / 1000 = 78 × 1.292 = 100.8s","correct win-10 definition","—","recomputed",ESTIMATED (interpolated restore),E30 crossover claim,"E30 claimed ri=57s crossover for L=8k; corrected ~101s"
full restore A6000 L=8k,1369 ms,results/cost/cost_matrix.csv,"restore_ms for full at L=8k","qwen7b; a6000","—","consistent with phase1 report",VERIFIED,E30 full binding / E32 warm-append comparison,
full restore A6000 L=64k,21720 ms,results/cost/cost_matrix.csv,"restore_ms for full at L=64k","qwen7b; a6000","—","consistent with phase1 report",VERIFIED,E30 full binding,
sum-80 restore A6000,28-31 ms (all L),results/cost/cost_matrix.csv,"restore_ms for summary_80","qwen7b; a6000; L in {1k-64k}","flat across L","consistent with phase1 report",VERIFIED,E30 accelerator demand for sum-80,
sum-200 restore A6000,31-36 ms (all L),results/cost/cost_matrix.csv,"restore_ms for summary_200","qwen7b; a6000; L in {1k-64k}","slight growth","consistent with phase1 report",VERIFIED,E30 accelerator demand for sum-200,
sum-80 update A6000 (corrected),4804-15925 ms,results/cost/cost_matrix.csv,"update_ms where update_corrected=1; one-time summarization cost","qwen7b; a6000; L in {8k-64k}","grows with L","consistent with phase1 report",VERIFIED,E30 accelerator demand for sum-80 refresh,
sum-200 update A6000 (corrected),9565-26881 ms,results/cost/cost_matrix.csv,"update_ms where update_corrected=1","qwen7b; a6000; L in {8k-64k}","grows with L","consistent with phase1 report",VERIFIED,E30 accelerator demand for sum-200 refresh,
E31 Part C reachability (State=D/I),0.829 connected,results/cost/e31_network/reachability_series.csv,"fraction of timesteps with State=D","Irish 5G driving; 28551 timesteps","n/a","superseded by E31b cell_id=-1 signal",INVALID,"E31 reachability and predictability","State=I is app idle not radio disconnection; proxy invalid"
E31b reachability (cell_id!=-1),0.856 connected,results/cost/e31b_network/e31b_summary.json,"cell_id != -1; 28551 timesteps","Irish 5G driving; all 16 sessions","14.4% no-cell time","—",VERIFIED,"E31b premise check; reachability claim",
E31b no-cell gap duration,p50=1s p95=2s max=3s,results/cost/e31b_network/e31b_summary.json,"duration of cell_id=-1 runs","Irish 5G driving","1-3s","—",VERIFIED,"E31b gap characterization",
E31b text transfer vs cold prefill,43-528x faster at p50 BW,results/cost/e31b_network/e31b_summary.json,"transfer_s vs cold_prefill_s; text payloads 4 B/tok","p50 BW = 9.6 Mbps; sum80 to full reps","—","internally consistent",VERIFIED,"network bottleneck claim; E31b Part F",
Irish 5G BW p10/p50/p90,0.9/9.6/102.9 Mbps,results/cost/e31_network/bandwidth_series.csv,"DL_bitrate from D-state rows","Irish 5G driving; 23102 active seconds","percentile distribution","consistent E31 and E31b",VERIFIED,"E31b transfer calculations; E31 Part B",
E32 full warm_append latency,~82 ms (constant across all N),results/fidelity/e32_staleness/locomo_latency_qwen7b.json,"median_s per measurement; n=60 measurements","vLLM; A6000; qwen7b; N in {1..100}","81.6-85.4ms mean per N; delta varies 20-2993 tok","vs cold prefill implied rate 35000 tok/s at N=100 (impossible)",DISPUTED,"E32 catch-up latency claim for full","Latency flat despite 150x increase in delta_tokens; definitive cache-hit signature"
E32 sum200 full_regen latency,constant per-conversation across all N,results/fidelity/e32_staleness/locomo_latency_qwen7b.json,"median_s per measurement; 3 sample conversations shown","vLLM; A6000; qwen7b; N in {1..100}","<0.5% intra-conversation variation despite delta growing 100x","—",DISPUTED,"E32 sum200 catch-up latency claim","Per-conversation latency identical at N=1 (delta=10-32tok) and N=100 (delta=2753-3466tok); not reflecting N new tokens"
LoCoMo full context tokens,20470 tokens median,data/locomo/locomo10.json,"all session text concatenated; 4 chars/tok","n=10 conversations","range 11404-23510","4 chars/tok is an estimate",VERIFIED,E30 full memory capacity row,
LoCoMo win-10 tokens (last 10 sessions),7275 tokens median,data/locomo/locomo10.json,"last 10 session texts concatenated; 4 chars/tok","n=10 conversations","range 5597-8548","—",VERIFIED,E30 win-10 correction (this audit),
LoCoMo sessions per conversation,29 (median),data/locomo/locomo10.json,"count session_N keys per conversation","n=10 conversations","range 19-32","—",VERIFIED,E30 session-rate and fleet-size reasoning,
E30 accelerator demand (sum-80 summaries) always accelerator-bound — SURVIVES,N_accel << N_mem at all L and ri,results/cost/e30_capacity/binding_crossover.csv,"N_accel = ri×1000/restore_ms; N_mem fixed by 80-token footprint","all L; ri in {5..300s}","—","definition correct (80 tokens budget)",VERIFIED,"E30 binding conclusion for sum-80/sum-200","Sum representations use budget as token count; definition correct; conclusion survives"
E30 qualitative memory ordering (sum-80>>sum-200>win-10>full),survives in direction,THIS AUDIT,"ordering by KV footprint per session","all L","—","corrected win-10 footprint still < full",VERIFIED (direction only),"E30 ordering claim","Magnitude of win-10 advantage is 18x smaller than reported; quantitative win-10 claims are SUPERSEDED"
